batch,Dec_CrossAttn_L0,Dec_CrossAttn_L1,Dec_CrossAttn_L2,Dec_CrossAttn_L3,Dec_CrossAttn_L4,Dec_CrossAttn_L5,Dec_FFN_L0,Dec_FFN_L1,Dec_FFN_L2,Dec_FFN_L3,Dec_FFN_L4,Dec_FFN_L5,Dec_SelfAttn_L0,Dec_SelfAttn_L1,Dec_SelfAttn_L2,Dec_SelfAttn_L3,Dec_SelfAttn_L4,Dec_SelfAttn_L5,Enc_FFN_L0,Enc_FFN_L1,Enc_FFN_L2,Enc_FFN_L3,Enc_FFN_L4,Enc_FFN_L5,Enc_SelfAttn_L0,Enc_SelfAttn_L1,Enc_SelfAttn_L2,Enc_SelfAttn_L3,Enc_SelfAttn_L4,Enc_SelfAttn_L5
batch 2567,0.807526,0.622895,0.627543,0.617019,0.669603,0.559342,0.593999,0.480392,0.469648,0.539424,0.524041,0.734867,0.783039,0.243769,0.164584,0.130524,0.267183,0.381287,0.712062,0.543461,0.506766,0.427917,0.389714,0.470549,1.510279,0.708612,0.527698,0.442962,0.419104,0.375812
batch 2568,0.787391,0.646528,0.600051,0.633833,0.693194,0.605639,0.592047,0.460308,0.465027,0.520436,0.518637,0.718589,0.750950,0.255058,0.180317,0.142110,0.264398,0.384100,0.750627,0.544444,0.490115,0.484668,0.392803,0.467801,1.490528,0.674143,0.541200,0.471232,0.393887,0.356783
batch 2569,0.684651,0.577741,0.575330,0.605200,0.714379,0.579467,0.525501,0.454369,0.463747,0.516908,0.493088,0.739835,0.641409,0.258686,0.166731,0.133365,0.268239,0.400148,0.639154,0.495044,0.459729,0.466365,0.399056,0.486953,1.419994,0.702716,0.534719,0.452534,0.412640,0.369119
batch 2570,0.686328,0.594294,0.561628,0.596328,0.712323,0.599591,0.511296,0.456683,0.462930,0.515531,0.495305,0.769893,0.630911,0.247836,0.177948,0.147093,0.274108,0.413374,0.702420,0.525163,0.472424,0.448135,0.396859,0.468541,1.464095,0.723115,0.539136,0.470989,0.425304,0.382754
batch 2571,0.780575,0.601626,0.582461,0.574528,0.683056,0.570952,0.576637,0.450392,0.456935,0.520443,0.520767,0.729235,0.720225,0.253434,0.159370,0.134682,0.259788,0.390063,0.674025,0.527036,0.476350,0.441563,0.439872,0.488887,1.436839,0.683444,0.512524,0.451715,0.418270,0.355092
batch 2572,0.778362,0.627800,0.621866,0.609358,0.693646,0.583578,0.564627,0.464489,0.474298,0.518659,0.520330,0.758142,0.701995,0.251168,0.177676,0.133331,0.271887,0.413412,0.710745,0.528603,0.485591,0.439781,0.404910,0.449234,1.475996,0.722564,0.541342,0.460164,0.422008,0.373882
batch 2573,0.745211,0.636411,0.583117,0.630157,0.669186,0.593442,0.545767,0.458057,0.466655,0.526803,0.518809,0.727754,0.701851,0.257615,0.178868,0.134953,0.280704,0.383147,0.732090,0.544885,0.495673,0.439269,0.372109,0.454052,1.517802,0.748842,0.565720,0.471520,0.419993,0.378081
batch 2574,0.799089,0.648702,0.617789,0.614246,0.709803,0.629272,0.575591,0.465214,0.463446,0.539008,0.537902,0.737325,0.755075,0.233768,0.155516,0.125757,0.278336,0.398777,0.793100,0.602948,0.527004,0.425386,0.388406,0.457174,1.664391,0.720015,0.551404,0.469739,0.393938,0.352850
batch 2575,0.965866,0.728417,0.681836,0.642845,0.725887,0.664399,0.661238,0.494091,0.496079,0.556829,0.550975,0.774093,0.966734,0.218674,0.186726,0.128145,0.291505,0.433356,0.856305,0.615512,0.564662,0.447851,0.425729,0.456822,1.583629,0.698178,0.490261,0.413914,0.369350,0.316406
batch 2576,0.771340,0.631726,0.610459,0.595765,0.675675,0.573389,0.545979,0.459317,0.450850,0.502107,0.508450,0.734321,0.695570,0.238488,0.180750,0.144557,0.265301,0.398841,0.731243,0.555673,0.501673,0.453264,0.407607,0.456409,1.562333,0.746398,0.542886,0.444903,0.433188,0.385441
